classification_note_id,food_group,classification_note,item
classification_note_0001,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Pecan
classification_note_0002,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Macadamia
classification_note_0003,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Pignola nuts
classification_note_0004,Nuts,"Nut species investigated that fall into the FAO ""Other nut"" category (Item code 1379.9).",Pili nuts
classification_note_0005,Seafood,Species in category Abalone outside top 100,Abalones nei
classification_note_0006,Seafood,Species in category Abalone outside top 100,False abalone
classification_note_0007,Seafood,Species in category Abalone outside top 100,Red abalone
classification_note_0008,Seafood,Species in category Abalone outside top 100,Perlemoen abalone
classification_note_0009,Seafood,Species in category Abalone outside top 100,Giant abalone
classification_note_0010,Seafood,Species in category Abalone outside top 100,Blacklip abalone
classification_note_0011,Seafood,Species in category Abalone outside top 100,Rainbow abalone
classification_note_0012,Seafood,Species in category Abalone outside top 100,Tuberculate abalone
classification_note_0013,Seafood,Species in category Abalone outside top 100,Japanese abalone
classification_note_0014,Seafood,Species in category Aquatic Plants outside top 100,Fusiform sargassum
classification_note_0015,Seafood,Species in category Aquatic Plants outside top 100,Aquatic plants nei
classification_note_0016,Seafood,Species in category Aquatic Plants outside top 100,Chilean kelp
classification_note_0017,Seafood,Species in category Aquatic Plants outside top 100,Spiny eucheuma
classification_note_0018,Seafood,Species in category Aquatic Plants outside top 100,North Atlantic rockweed
classification_note_0019,Seafood,Species in category Aquatic Plants outside top 100,Japanese sargasso weed
classification_note_0020,Seafood,Species in category Aquatic Plants outside top 100,Spirulina nei
classification_note_0021,Seafood,Species in category Aquatic Plants outside top 100,North European kelp
classification_note_0022,Seafood,Species in category Aquatic Plants outside top 100,Giant kelps nei
classification_note_0023,Seafood,Species in category Aquatic Plants outside top 100,Giant kelp
classification_note_0024,Seafood,Species in category Aquatic Plants outside top 100,Red seaweeds
classification_note_0025,Seafood,Species in category Aquatic Plants outside top 100,Leister
classification_note_0026,Seafood,Species in category Aquatic Plants outside top 100,Skottsberg's gigartina
classification_note_0027,Seafood,Species in category Aquatic Plants outside top 100,Tangle
classification_note_0028,Seafood,Species in category Aquatic Plants outside top 100,Seaweeds nei
classification_note_0029,Seafood,Species in category Aquatic Plants outside top 100,Green seaweeds
classification_note_0030,Seafood,Species in category Aquatic Plants outside top 100,Bull kelp
classification_note_0031,Seafood,Species in category Aquatic Plants outside top 100,Kelps nei
classification_note_0032,Seafood,Species in category Aquatic Plants outside top 100,Green laver
classification_note_0033,Seafood,Species in category Aquatic Plants outside top 100,Fragile codium
classification_note_0034,Seafood,Species in category Aquatic Plants outside top 100,Sea lettuces nei
classification_note_0035,Seafood,Species in category Aquatic Plants outside top 100,Warty gracilaria
classification_note_0036,Seafood,Species in category Aquatic Plants outside top 100,Gelidium seaweeds
classification_note_0037,Seafood,Species in category Aquatic Plants outside top 100,Caulerpa seaweeds
classification_note_0038,Seafood,Species in category Aquatic Plants outside top 100,Slender wart weed
classification_note_0039,Seafood,Species in category Aquatic Plants outside top 100,Giant gelidium
classification_note_0040,Seafood,Species in category Aquatic Plants outside top 100,Sea belt
classification_note_0041,Seafood,Species in category Aquatic Plants outside top 100,Gut weed
classification_note_0042,Seafood,Species in category Aquatic Plants outside top 100,Zanzibar weed
classification_note_0043,Seafood,Species in category Aquatic Plants outside top 100,Lacy sea lettuce
classification_note_0044,Seafood,Species in category Aquatic Plants outside top 100,Babberlocks
classification_note_0045,Seafood,Species in category Aquatic Plants outside top 100,Ribboned nori
classification_note_0046,Seafood,Species in category Aquatic Plants outside top 100,Unicell. chlorella green alga
classification_note_0047,Seafood,Species in category Aquatic Plants outside top 100,Sea thong
classification_note_0048,Seafood,Species in category Aquatic Plants outside top 100,Dulse
classification_note_0049,Seafood,Species in category Aquatic Plants outside top 100,Blunt laurenzia
classification_note_0050,Seafood,Species in category Aquatic Plants outside top 100,Carragheen (Irish) moss
classification_note_0051,Seafood,Species in category Aquatic Plants outside top 100,Chalk weed
classification_note_0052,Seafood,Species in category Aquatic Plants outside top 100,Channel wrack
classification_note_0053,Seafood,Species in category Aquatic Plants outside top 100,Coarse seagrape
classification_note_0054,Seafood,Species in category Aquatic Plants outside top 100,Dark green nori
classification_note_0055,Seafood,Species in category Aquatic Plants outside top 100,Eel-grass
classification_note_0056,Seafood,Species in category Aquatic Plants outside top 100,Gigartina seaweeds nei
classification_note_0057,Seafood,Species in category Aquatic Plants outside top 100,Golden Cystoseira
classification_note_0058,Seafood,Species in category Aquatic Plants outside top 100,Green sea feather
classification_note_0059,Seafood,Species in category Aquatic Plants outside top 100,Hairy gelidium
classification_note_0060,Seafood,Species in category Aquatic Plants outside top 100,Harpoon seaweeds
classification_note_0061,Seafood,Species in category Aquatic Plants outside top 100,Japanese isinglass
classification_note_0062,Seafood,Species in category Aquatic Plants outside top 100,Manifold callophyllis
classification_note_0063,Seafood,Species in category Aquatic Plants outside top 100,Phyllophora nei
classification_note_0064,Seafood,Species in category Aquatic Plants outside top 100,Red forkweed
classification_note_0065,Seafood,Species in category Aquatic Plants outside top 100,Red sea lettuce
classification_note_0066,Seafood,Species in category Aquatic Plants outside top 100,Red seabroom
classification_note_0067,Seafood,Species in category Aquatic Plants outside top 100,Sea cactus
classification_note_0068,Seafood,Species in category Aquatic Plants outside top 100,Sea lettuce
classification_note_0069,Seafood,Species in category Aquatic Plants outside top 100,Tule nei
classification_note_0070,Seafood,Species in category Caiman outside top 100,Paraguayan caiman
classification_note_0071,Seafood,Species in category Caiman outside top 100,Broad-nosed caiman
classification_note_0072,Seafood,Species in category Caiman outside top 100,Smooth-fronted caiman
classification_note_0073,Seafood,Species in category Caiman outside top 100,Cuvier's Dwarf caiman
classification_note_0074,Seafood,Species in category Caiman outside top 100,Black caiman
classification_note_0075,Seafood,Species in category Clams outside top 100,"Clams, etc. nei"
classification_note_0076,Seafood,Species in category Clams outside top 100,Atlantic surf clam
classification_note_0077,Seafood,Species in category Clams outside top 100,Japanese hard clam
classification_note_0078,Seafood,Species in category Clams outside top 100,Stimpson's surf clam
classification_note_0079,Seafood,Species in category Clams outside top 100,Asian clam
classification_note_0080,Seafood,Species in category Clams outside top 100,Venus clams nei
classification_note_0081,Seafood,Species in category Clams outside top 100,Ark clams nei
classification_note_0082,Seafood,Species in category Clams outside top 100,Taca clam
classification_note_0083,Seafood,Species in category Clams outside top 100,Solid surf clam
classification_note_0084,Seafood,Species in category Clams outside top 100,Short neck clams nei
classification_note_0085,Seafood,Species in category Clams outside top 100,Hard clams nei
classification_note_0086,Seafood,Species in category Clams outside top 100,Macha clam
classification_note_0087,Seafood,Species in category Clams outside top 100,Taquilla clams
classification_note_0088,Seafood,Species in category Clams outside top 100,Surf clams nei
classification_note_0089,Seafood,Species in category Clams outside top 100,Butter clam
classification_note_0090,Seafood,Species in category Clams outside top 100,Pipi wedge clam
