commodity_id,food_group,item_code,item_code_kind,item,n_parts,mass_fraction_sum,mass_balance_error,mass_balance_status,accounted_mass_fraction_sum,non_fao_mass_fraction_sum,unknown_fao_accounting_mass_fraction_sum,avoidable_mass_fraction,potentially_avoidable_mass_fraction,unavoidable_mass_fraction,source_sheets
fowcus_cereals_115_barley_22432fec,cereals,115,commodity_code,Barley,3,1.0,0.0,pass,0.8799999999999999,0.12,0.0,0.8799999999999999,0.0,0.12,cereals
fowcus_cereals_1192_buckwheat_fd14ee1c,cereals,1192,commodity_code,Buckwheat,3,1.0,0.0,pass,0.75,0.25,0.0,0.75,0.0,0.25,cereals
fowcus_cereals_1195_canary-seed_999d95ff,cereals,1195,commodity_code,Canary seed,3,0.9999999999999999,-1.1102230246251565e-16,pass,0.9999999999999999,0.0,0.0,0.7499999999999999,0.0,0.25,cereals
fowcus_cereals_1199-9_cereals-n-e-c_dfb205ac,cereals,1199.9,commodity_code,Cereals n.e.c.,3,1.0,0.0,pass,0.8300000000000001,0.16999999999999998,0.0,0.8300000000000001,0.0,0.16999999999999998,cereals
fowcus_cereals_1193_fonio_91216922,cereals,1193,commodity_code,Fonio,3,1.0,0.0,pass,0.77,0.23,0.0,0.77,0.0,0.23,cereals
fowcus_cereals_1449-02_hempseed_8081ea12,cereals,1449.02,commodity_code,Hempseed,2,1.0031967213114754,0.0031967213114754145,review,1.0031967213114754,0.0,0.0,0.6331967213114754,0.0,0.37,cereals
fowcus_cereals_112_maize-corn_4cdbf1f5,cereals,112,commodity_code,Maize (corn),5,0.9999829545454545,-1.7045454545505656e-05,review,0.5289829545454545,0.47100000000000003,0.0,0.5289829545454545,0.0,0.47100000000000003,cereals
fowcus_cereals_118_millet_7d3c61cb,cereals,118,commodity_code,Millet,3,1.0,0.0,pass,0.77125,0.22875,0.0,0.77125,0.0,0.22875,cereals
fowcus_cereals_1199-02_mixed-grain_0864e6af,cereals,1199.02,commodity_code,Mixed grain,3,1.0004166666666667,0.0004166666666667318,review,0.8229166666666666,0.1775,0.0,0.8229166666666666,0.0,0.1775,cereals
fowcus_cereals_117_oats_2dda6e44,cereals,117,commodity_code,Oats,3,1.0,0.0,pass,0.7600000000000001,0.24,0.0,0.7600000000000001,0.0,0.24,cereals
fowcus_cereals_1194_quinoa_ebf06897,cereals,1194,commodity_code,Quinoa,3,1.0,0.0,pass,0.89,0.11,0.0,0.89,0.0,0.11,cereals
fowcus_cereals_113_rice_db292999,cereals,113,commodity_code,Rice,3,1.0,0.0,pass,1.0,0.0,0.0,0.77,0.0,0.22999999999999998,cereals
fowcus_cereals_116_rye_f61c1d50,cereals,116,commodity_code,Rye,3,1.0,0.0,pass,0.825,0.175,0.0,0.825,0.0,0.175,cereals
fowcus_cereals_114_sorghum_f1de6932,cereals,114,commodity_code,Sorghum,2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,cereals
fowcus_cereals_1191_triticale_648c3d9b,cereals,1191,commodity_code,Triticale,2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,cereals
fowcus_cereals_111_wheat_6cf7979c,cereals,111,commodity_code,Wheat,4,1.0,0.0,pass,0.8250000000000001,0.175,0.0,0.8250000000000001,0.0,0.175,cereals
fowcus_eggs_232_eggs-from-other-birds-in-shell-fresh-n-e-c_668b6289,eggs,232,commodity_code,"Eggs from other birds in shell, fresh, n.e.c.",2,1.0,0.0,pass,1.0,0.0,0.0,0.895,0.0,0.10500000000000001,eggs
fowcus_eggs_231_hen-eggs-in-shell-fresh_5bf69c21,eggs,231,commodity_code,"Hen eggs in shell, fresh",2,1.0,0.0,pass,1.0,0.0,0.0,0.895,0.0,0.10500000000000001,eggs
fowcus_fruits_1341_apples_495a8d0d,fruits,1341,commodity_code,Apples,4,1.00375,0.00374999999999992,review,1.00375,0.0,0.0,0.99,0.0,0.01375,fruits
fowcus_fruits_1343_apricots_751c6924,fruits,1343,commodity_code,Apricots,4,1.00000000003,3.000000248221113e-11,pass,1.00000000003,0.0,0.0,0.9271330704,0.0,0.07286692963,fruits
fowcus_fruits_1311_avocados_3e688b7e,fruits,1311,commodity_code,Avocados,3,1.0,0.0,pass,1.0,0.0,0.0,0.73,0.0,0.27,fruits
fowcus_fruits_1312_bananas_121d1dc0,fruits,1312,commodity_code,Bananas,2,1.0,0.0,pass,1.0,0.0,0.0,0.65,0.0,0.35,fruits
fowcus_fruits_1355-01_blueberries_26fd2e95,fruits,1355.01,commodity_code,Blueberries,4,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,fruits
fowcus_fruits_1229_cantaloupes-and-other-melons_e3497820,fruits,1229,commodity_code,Cantaloupes and other melons,4,1.0,0.0,pass,1.0,0.0,0.0,0.68,0.07,0.25,fruits
fowcus_fruits_1359-02_cashewapple_c4eeadbb,fruits,1359.02,commodity_code,Cashewapple,2,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,fruits
fowcus_fruits_1344-02_cherries_db5cfe66,fruits,1344.02,commodity_code,Cherries,3,1.0,0.0,pass,1.0,0.0,0.0,0.9430000000000001,0.0,0.056999999999999995,fruits
fowcus_fruits_1355-02_cranberries_66cb20a0,fruits,1355.02,commodity_code,Cranberries,3,1.0,0.0,pass,1.0,0.0,0.0,1.0,0.0,0.0,fruits
fowcus_fruits_1351-01_currants_ca294801,fruits,1351.01,commodity_code,Currants,3,0.89,-0.10999999999999999,review,0.89,0.0,0.0,0.89,0.0,0.0,fruits
