flag_id,scope,severity,check,record_id,commodity_id,message
quality_flag_0001,commodity,info,mass_balance,,fowcus_cereals_1449-02_hempseed_8081ea12,Commodity parts sum to 1.003197; expected 1.000000 for a closed mass balance.
quality_flag_0002,commodity,info,mass_balance,,fowcus_cereals_112_maize-corn_4cdbf1f5,Commodity parts sum to 0.999983; expected 1.000000 for a closed mass balance.
quality_flag_0003,commodity,info,mass_balance,,fowcus_cereals_1199-02_mixed-grain_0864e6af,Commodity parts sum to 1.000417; expected 1.000000 for a closed mass balance.
quality_flag_0004,commodity,info,mass_balance,,fowcus_fruits_1341_apples_495a8d0d,Commodity parts sum to 1.003750; expected 1.000000 for a closed mass balance.
quality_flag_0005,commodity,warning,mass_balance,,fowcus_fruits_1351-01_currants_ca294801,Commodity parts sum to 0.890000; expected 1.000000 for a closed mass balance.
quality_flag_0006,commodity,warning,mass_balance,,fowcus_fruits_1351-02_currants_26734e3f,Commodity parts sum to 0.110000; expected 1.000000 for a closed mass balance.
quality_flag_0007,commodity,info,mass_balance,,fowcus_fruits_1351-02_gooseberries_b479a8ec,Commodity parts sum to 1.013874; expected 1.000000 for a closed mass balance.
quality_flag_0008,commodity,info,mass_balance,,fowcus_fruits_1330_grapes_ebcc661d,Commodity parts sum to 1.000100; expected 1.000000 for a closed mass balance.
quality_flag_0009,commodity,info,mass_balance,,fowcus_fruits_1359-9_other-fruits-n-e-c_ac0e922e,Commodity parts sum to 0.996700; expected 1.000000 for a closed mass balance.
quality_flag_0010,commodity,info,mass_balance,,fowcus_fruits_1349-1_other-pome-fruits_f7f37b17,Commodity parts sum to 0.996000; expected 1.000000 for a closed mass balance.
quality_flag_0011,commodity,info,mass_balance,,fowcus_fruits_1349-1_other-stone-fruits_e6b3bd05,Commodity parts sum to 1.002000; expected 1.000000 for a closed mass balance.
quality_flag_0012,commodity,info,mass_balance,,fowcus_fruits_1319_other-tropical-fruits-n-e-c_440411b7,Commodity parts sum to 1.010775; expected 1.000000 for a closed mass balance.
